frame_number,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,summary
56,2025-08-11 09:33:59.604276,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
57,2025-08-11 09:33:59.604854,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
58,2025-08-11 09:33:59.605414,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
59,2025-08-11 09:33:59.605997,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
60,2025-08-11 09:33:59.606587,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
61,2025-08-11 09:33:59.607177,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
62,2025-08-11 09:33:59.607755,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
63,2025-08-11 09:33:59.608387,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
64,2025-08-11 09:33:59.608971,52.115.109.31,3481,192.168.1.3,50041,UDP,1193,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1159
65,2025-08-11 09:33:59.609529,52.115.109.31,3481,192.168.1.3,50041,UDP,1178,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1144
66,2025-08-11 09:33:59.610098,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
67,2025-08-11 09:33:59.610661,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
68,2025-08-11 09:33:59.611192,52.115.109.31,3479,192.168.1.3,50017,UDP,151,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=117
69,2025-08-11 09:33:59.611537,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
70,2025-08-11 09:33:59.612126,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
71,2025-08-11 09:33:59.613107,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
72,2025-08-11 09:33:59.613697,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
73,2025-08-11 09:33:59.614307,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
74,2025-08-11 09:33:59.614988,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
75,2025-08-11 09:33:59.615664,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
76,2025-08-11 09:33:59.616288,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
77,2025-08-11 09:33:59.616884,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
78,2025-08-11 09:33:59.617484,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
79,2025-08-11 09:33:59.618073,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
80,2025-08-11 09:33:59.618712,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
81,2025-08-11 09:33:59.619276,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
82,2025-08-11 09:33:59.619833,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
83,2025-08-11 09:33:59.620386,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
84,2025-08-11 09:33:59.620957,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
85,2025-08-11 09:33:59.621566,52.115.109.31,3479,192.168.1.3,50017,UDP,157,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=123
86,2025-08-11 09:33:59.621871,52.115.109.31,3481,192.168.1.3,50041,UDP,1211,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1177
87,2025-08-11 09:33:59.622441,52.115.109.31,3481,192.168.1.3,50041,UDP,1196,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1162
88,2025-08-11 09:33:59.623095,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
